TimeStamp,Value
02/26/2024 00:00:00,26.7
02/27/2024 00:00:00,27.505
02/27/2024 00:00:00,27.475
02/28/2024 00:00:00,28.3
02/29/2024 00:00:00,28.4
03/01/2024 00:00:00,28.5
03/01/2024 00:00:00,28.5
03/04/2024 00:00:00,28.75
03/04/2024 00:00:00,28.73
03/05/2024 00:00:00,29.03
03/05/2024 00:00:00,29.3
03/06/2024 00:00:00,28.75
03/07/2024 00:00:00,28.775
03/08/2024 00:00:00,28.7
03/11/2024 00:00:00,27.75
03/12/2024 00:00:00,27.5
03/12/2024 00:00:00,27.45
03/13/2024 00:00:00,27.3
03/13/2024 00:00:00,27.305
03/14/2024 00:00:00,28.35
03/14/2024 00:00:00,27.3
03/15/2024 00:00:00,28.48
03/18/2024 00:00:00,29.3
03/19/2024 00:00:00,29.3
03/20/2024 00:00:00,28.95
03/20/2024 00:00:00,28.62
03/21/2024 00:00:00,28.3
03/21/2024 00:00:00,28.48
03/22/2024 00:00:00,28.65
03/22/2024 00:00:00,28.77
03/25/2024 00:00:00,29.4
03/25/2024 00:00:00,29.445
03/26/2024 00:00:00,29
03/27/2024 00:00:00,29.1
03/27/2024 00:00:00,29.4
03/28/2024 00:00:00,29
04/02/2024 01:00:00,28.6
04/02/2024 01:00:00,28.4
04/03/2024 01:00:00,28.53
04/03/2024 01:00:00,28.1
04/04/2024 01:00:00,28.75
04/05/2024 01:00:00,29.41
04/08/2024 01:00:00,30.15
04/09/2024 01:00:00,30.3
04/09/2024 01:00:00,30.2
04/10/2024 01:00:00,30.25
04/10/2024 01:00:00,29.9
04/11/2024 01:00:00,31.4
04/11/2024 01:00:00,31.25
04/12/2024 01:00:00,31.7
04/12/2024 01:00:00,31.925
04/15/2024 01:00:00,32.05
